"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"22/04/2024";"0000";"20,7";"21,6";"20,7";"81,0";"85,0";"81,0";"17,4";"18,9";"17,4";"1013,7";"1013,7";"1013,4";"1,3";"119,0";"3,8";"";"0,0"
"22/04/2024";"0100";"21,4";"21,4";"20,4";"79,0";"83,0";"78,0";"17,6";"17,6";"17,2";"1013,7";"1013,8";"1013,7";"1,9";"112,0";"4,4";"";"0,0"
"22/04/2024";"0200";"21,1";"21,4";"20,9";"81,0";"83,0";"79,0";"17,8";"18,0";"17,5";"1014,0";"1014,0";"1013,6";"1,5";"106,0";"4,2";"";"0,0"
"22/04/2024";"0300";"19,6";"21,2";"19,6";"88,0";"88,0";"80,0";"17,6";"17,8";"17,2";"1014,3";"1014,6";"1014,0";"0,5";"63,0";"3,1";"";"0,0"
"22/04/2024";"0400";"18,8";"19,7";"18,8";"92,0";"92,0";"88,0";"17,5";"18,0";"17,4";"1013,7";"1014,3";"1013,7";"0,7";"151,0";"1,7";"";"0,0"
"22/04/2024";"0500";"19,0";"19,2";"18,6";"92,0";"94,0";"92,0";"17,6";"18,0";"17,3";"1014,2";"1014,6";"1013,6";"0,5";"173,0";"1,9";"";"0,0"
"22/04/2024";"0600";"19,0";"19,1";"18,8";"93,0";"94,0";"92,0";"17,9";"18,0";"17,6";"1013,7";"1014,3";"1013,7";"0,7";"156,0";"1,6";"";"0,0"
"22/04/2024";"0700";"19,8";"19,8";"19,0";"92,0";"94,0";"92,0";"18,5";"18,5";"17,9";"1014,0";"1014,2";"1013,7";"0,7";"129,0";"2,0";"";"0,0"
"22/04/2024";"0800";"20,6";"20,7";"19,5";"89,0";"92,0";"89,0";"18,7";"18,9";"18,2";"1014,1";"1014,1";"1013,5";"1,3";"134,0";"4,1";"";"0,0"
"22/04/2024";"0900";"20,6";"20,8";"20,4";"86,0";"89,0";"86,0";"18,2";"18,9";"18,2";"1014,7";"1015,0";"1013,5";"1,3";"72,0";"7,4";"";"0,0"
